Position,Track Name,Artist,Streams,date,region,id
1,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,444451,2020-01-06,gb,4QPEwDdOMhY7rNS05mTyMR
2,Dance Monkey,Tones and I,443667,2020-01-06,gb,1rgnBhdG2JDFTbYkYRZAku
3,ROXANNE,Arizona Zervas,377622,2020-01-06,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,340910,2020-01-06,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,329493,2020-01-06,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,Justin Bieber,303934,2020-01-06,gb,41L3O37CECZt3N7ziG2z7l
7,everything i wanted,Billie Eilish,283973,2020-01-06,gb,3ZCTVFBt2Brf31RLEnCkWJ
8,The Box,Roddy Ricch,268731,2020-01-06,gb,0nbXyq5TXYPCO7pr3N8S4I
9,Adore You,Harry Styles,264559,2020-01-06,gb,3jjujdWJ72nww5eGnfs2E7
10,Lose Control,MEDUZA,245286,2020-01-06,gb,7CHi4DtfK4heMlQaudCuHK
11,Someone You Loved,Lewis Capaldi,244258,2020-01-06,gb,7qEHsqek33rTcFNT9PFqLf
12,Blinding Lights,The Weeknd,238479,2020-01-06,gb,0sf12qNH5qcw8qpgymFOqD
13,My Oh My (feat. DaBaby),Camila Cabello,234584,2020-01-06,gb,3yOlyBJuViE2YSGn3nVE1K
14,Falling,Trevor Daniel,223513,2020-01-06,gb,4TnjEaWOeW0eKTKIEvJyCa
15,Ride It,Regard,215489,2020-01-06,gb,2tnVG71enUj33Ic2nFN6kZ
16,Circles,Post Malone,205296,2020-01-06,gb,21jGcNKet2qwijlDFuPiPb
17,hot girl bummer,blackbear,204676,2020-01-06,gb,7aiClxsDWFRQ0Kzk5KI5ku
18,Memories,Maroon 5,193492,2020-01-06,gb,2b8fOow8UzyDFAE27YhOZM
19,Lights Up,Harry Styles,192180,2020-01-06,gb,4jAIqgrPjKLTY9Gbez25Qb
20,Watermelon Sugar,Harry Styles,188013,2020-01-06,gb,6UelLqGlWMcVH1E5c4H7lY
21,Vossi Bop,Stormzy,185728,2020-01-06,gb,5DXKtoZLm31msT7tNGNHLG
22,bad guy,Billie Eilish,180820,2020-01-06,gb,2Fxmhks0bxGSBdJ92vM42m
23,Audacity (feat. Headie One),Stormzy,180039,2020-01-06,gb,6Oq4fiDzKaFMU89dTvM24u
24,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,175786,2020-01-06,gb,4vUmTMuQqjdnvlZmAH61Qk
25,Pump It Up,Endor,175694,2020-01-06,gb,0GiwV6v3AgJfdu59tj719Y
26,Lose You To Love Me,Selena Gomez,175285,2020-01-06,gb,1HfMVBKM75vxSfsQ5VefZ5
27,This Is Real (ft. Ella Henderson),Jax Jones,170522,2020-01-06,gb,1pRShUtGOG6ZP5fsnw9G4h
28,Bruises,Lewis Capaldi,170353,2020-01-06,gb,4Of7rzpRpV1mWRbhp5rAqG
29,Heartless,The Weeknd,157955,2020-01-06,gb,57vxBYXtHMk6H1aD29V7PU
30,Lessons,Stormzy,153967,2020-01-06,gb,5iVGN1Th2DqyWVNIBM8Vwk
31,Don't Rush (feat. Headie One),Young T & Bugsey,149087,2020-01-06,gb,0PXukVbYpvz40KcEFKnIw7
32,Ladbroke Grove,AJ Tracey,144802,2020-01-06,gb,7b4ky1LlQLFhXHmhZkFgqV
33,Lucid Dreams,Juice WRLD,139750,2020-01-06,gb,285pBltuF7vW8TeWk8hdRR
34,Señorita,Shawn Mendes,137928,2020-01-06,gb,6v3KW9xbzN5yKLt9YKDYA2
35,Location (feat. Burna Boy),Dave,136679,2020-01-06,gb,3z4CGd63tpUn9a6oQSG0CI
36,I Don't Care (with Justin Bieber),Ed Sheeran,133684,2020-01-06,gb,0hVXuCcriWRGvwMV1r5Yn9
37,Must Be,J Hus,133419,2020-01-06,gb,2n1oPHJVMPWJkjgHwVcksY
38,Beautiful People (feat. Khalid),Ed Sheeran,129492,2020-01-06,gb,70eFcWOvlMObDhURTqT4Fv
39,Turn Me On (feat. Vula),Riton,129480,2020-01-06,gb,0qaWEvPkts34WF68r8Dzx9
40,HIGHEST IN THE ROOM,Travis Scott,127287,2020-01-06,gb,3eekarcy7kvN4yt5ZFzltW
41,Netflix & Chill,Fredo,125174,2020-01-06,gb,31m40qBxoj4iMSnQLkq8nP
42,Nice To Meet Ya,Niall Horan,122179,2020-01-06,gb,3cphb8kdsjElYR7r5icK3H
43,No Idea,Don Toliver,121457,2020-01-06,gb,3VyjsVV24RmBIbWJAeUJNu
44,Hold Me While You Wait,Lewis Capaldi,121027,2020-01-06,gb,60iSKGrGazRzICtMjADNSM
45,Strike a Pose (feat. Aitch),Young T & Bugsey,120188,2020-01-06,gb,23GvTfcGK454ppLsts3W44
46,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,119608,2020-01-06,gb,0RiRZpuVRbi7oqRdSMwhQY
47,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,118437,2020-01-06,gb,07Oz5StQ7GRoygNLaXs2pd
48,No Denying,J Hus,113286,2020-01-06,gb,2kUIOTeKv8ZeT6vh9gh7RF
49,Falling,Harry Styles,111936,2020-01-06,gb,1ZMiCix7XSAbfAJlEZWMCp
50,Higher Love,Kygo,109973,2020-01-06,gb,6oJ6le65B3SEqPwMRNXWjY
51,Savage,MIST,109815,2020-01-06,gb,4MYPhAqmZxyBMBFknBhZHl
52,Crown,Stormzy,109059,2020-01-06,gb,4CEGyF5A5u5BjweVvkgCsn
53,Gangsta,Darkoo,108916,2020-01-06,gb,0KzhyaVtr2v4J9GVdMgCk0
54,New Dior,DigDat,105321,2020-01-06,gb,4aRRxKxJbvIEjXWXB0l3w7
55,Be Honest,Jorja Smith,105040,2020-01-06,gb,3IWs9dAwTqN0EFhOIcBDfs
56,Professor X,Dave,104575,2020-01-06,gb,5wfyoR8XOkw45QRtFOoxyi
57,3 Nights,Dominic Fike,103371,2020-01-06,gb,1tNJrcVe6gwLEiZCtprs1u
58,Ransom,Lil Tecca,102819,2020-01-06,gb,1lOe9qE0vR9zwWQAOk6CoO
59,when the party's over,Billie Eilish,100978,2020-01-06,gb,43zdsphuZLzwA9k4DJhU0I
60,Taste (Make It Shake),Aitch,99422,2020-01-06,gb,1xPpYbCaJWonL7IFXPDjON
61,Wiley Flow,Stormzy,98630,2020-01-06,gb,5Rbj8akony3l0NNM5TjH1F
62,Better Half of Me,Tom Walker,97819,2020-01-06,gb,4VPlKUSjC9HdZdUbFZ0Y5y
63,No Cellular Site,D-Block Europe,97187,2020-01-06,gb,5A5HUdwGAlJLC9vg5Dyhio
64,Buss Down (feat. ZieZie),Aitch,96774,2020-01-06,gb,584UC3Qpm8SbYd7aRWKREu
65,Bandit (with YoungBoy Never Broke Again),Juice WRLD,93979,2020-01-06,gb,6Gg1gjgKi2AK4e0qzsR7sd
66,Sorry,Joel Corry,93870,2020-01-06,gb,6y1UtRcHQU07aUs3oxZ8Yn
67,BOP,DaBaby,92089,2020-01-06,gb,6Ozh9Ok6h4Oi1wUSLtBseN
68,Piece Of Your Heart,MEDUZA,91768,2020-01-06,gb,1DFD5Fotzgn6yYXkYsKiGs
