Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,431383,2020-01-02,gb,1rgnBhdG2JDFTbYkYRZAku
2,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,394333,2020-01-02,gb,4QPEwDdOMhY7rNS05mTyMR
3,ROXANNE,Arizona Zervas,371293,2020-01-02,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,319177,2020-01-02,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,296993,2020-01-02,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,everything i wanted,Billie Eilish,261046,2020-01-02,gb,3ZCTVFBt2Brf31RLEnCkWJ
7,Someone You Loved,Lewis Capaldi,246129,2020-01-02,gb,7qEHsqek33rTcFNT9PFqLf
8,Adore You,Harry Styles,228942,2020-01-02,gb,3jjujdWJ72nww5eGnfs2E7
9,Lose Control,MEDUZA,213872,2020-01-02,gb,7CHi4DtfK4heMlQaudCuHK
10,Falling,Trevor Daniel,208166,2020-01-02,gb,4TnjEaWOeW0eKTKIEvJyCa
11,Ride It,Regard,202907,2020-01-02,gb,2tnVG71enUj33Ic2nFN6kZ
12,My Oh My (feat. DaBaby),Camila Cabello,196859,2020-01-02,gb,3yOlyBJuViE2YSGn3nVE1K
13,hot girl bummer,blackbear,196194,2020-01-02,gb,7aiClxsDWFRQ0Kzk5KI5ku
14,Circles,Post Malone,193582,2020-01-02,gb,21jGcNKet2qwijlDFuPiPb
15,bad guy,Billie Eilish,192102,2020-01-02,gb,2Fxmhks0bxGSBdJ92vM42m
16,Blinding Lights,The Weeknd,190387,2020-01-02,gb,0sf12qNH5qcw8qpgymFOqD
17,Memories,Maroon 5,188244,2020-01-02,gb,2b8fOow8UzyDFAE27YhOZM
18,Vossi Bop,Stormzy,180848,2020-01-02,gb,5DXKtoZLm31msT7tNGNHLG
19,Lights Up,Harry Styles,180187,2020-01-02,gb,4jAIqgrPjKLTY9Gbez25Qb
20,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,170836,2020-01-02,gb,4vUmTMuQqjdnvlZmAH61Qk
21,Watermelon Sugar,Harry Styles,170455,2020-01-02,gb,6UelLqGlWMcVH1E5c4H7lY
