Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,455806,2020-01-04,gb,1rgnBhdG2JDFTbYkYRZAku
2,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,413089,2020-01-04,gb,4QPEwDdOMhY7rNS05mTyMR
3,ROXANNE,Arizona Zervas,384126,2020-01-04,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,322860,2020-01-04,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,314645,2020-01-04,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,everything i wanted,Billie Eilish,269945,2020-01-04,gb,3ZCTVFBt2Brf31RLEnCkWJ
7,Adore You,Harry Styles,239541,2020-01-04,gb,3jjujdWJ72nww5eGnfs2E7
8,Someone You Loved,Lewis Capaldi,237425,2020-01-04,gb,7qEHsqek33rTcFNT9PFqLf
9,Lose Control,MEDUZA,229686,2020-01-04,gb,7CHi4DtfK4heMlQaudCuHK
10,Yummy,Justin Bieber,224508,2020-01-04,gb,41L3O37CECZt3N7ziG2z7l
11,My Oh My (feat. DaBaby),Camila Cabello,223959,2020-01-04,gb,3yOlyBJuViE2YSGn3nVE1K
12,The Box,Roddy Ricch,221723,2020-01-04,gb,0nbXyq5TXYPCO7pr3N8S4I
13,Falling,Trevor Daniel,215968,2020-01-04,gb,4TnjEaWOeW0eKTKIEvJyCa
14,Ride It,Regard,212740,2020-01-04,gb,2tnVG71enUj33Ic2nFN6kZ
15,Blinding Lights,The Weeknd,212135,2020-01-04,gb,0sf12qNH5qcw8qpgymFOqD
16,Circles,Post Malone,197910,2020-01-04,gb,21jGcNKet2qwijlDFuPiPb
17,hot girl bummer,blackbear,197908,2020-01-04,gb,7aiClxsDWFRQ0Kzk5KI5ku
18,Memories,Maroon 5,194525,2020-01-04,gb,2b8fOow8UzyDFAE27YhOZM
19,bad guy,Billie Eilish,183333,2020-01-04,gb,2Fxmhks0bxGSBdJ92vM42m
20,Lights Up,Harry Styles,181396,2020-01-04,gb,4jAIqgrPjKLTY9Gbez25Qb
21,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,178077,2020-01-04,gb,4vUmTMuQqjdnvlZmAH61Qk
22,Vossi Bop,Stormzy,177703,2020-01-04,gb,5DXKtoZLm31msT7tNGNHLG
23,Pump It Up,Endor,173363,2020-01-04,gb,0GiwV6v3AgJfdu59tj719Y
24,Watermelon Sugar,Harry Styles,171452,2020-01-04,gb,6UelLqGlWMcVH1E5c4H7lY
25,Lose You To Love Me,Selena Gomez,168739,2020-01-04,gb,1HfMVBKM75vxSfsQ5VefZ5
26,Audacity (feat. Headie One),Stormzy,159538,2020-01-04,gb,6Oq4fiDzKaFMU89dTvM24u
27,Bruises,Lewis Capaldi,158973,2020-01-04,gb,4Of7rzpRpV1mWRbhp5rAqG
28,This Is Real (ft. Ella Henderson),Jax Jones,158268,2020-01-04,gb,1pRShUtGOG6ZP5fsnw9G4h
29,Heartless,The Weeknd,153982,2020-01-04,gb,57vxBYXtHMk6H1aD29V7PU
30,Ladbroke Grove,AJ Tracey,145363,2020-01-04,gb,7b4ky1LlQLFhXHmhZkFgqV
31,Señorita,Shawn Mendes,141767,2020-01-04,gb,6v3KW9xbzN5yKLt9YKDYA2
32,Lucid Dreams,Juice WRLD,140090,2020-01-04,gb,285pBltuF7vW8TeWk8hdRR
33,Don't Rush (feat. Headie One),Young T & Bugsey,139388,2020-01-04,gb,0PXukVbYpvz40KcEFKnIw7
