Position,Track Name,Artist,Streams,date,region,id
1,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,443284,2020-01-07,gb,4QPEwDdOMhY7rNS05mTyMR
2,Dance Monkey,Tones and I,433901,2020-01-07,gb,1rgnBhdG2JDFTbYkYRZAku
3,ROXANNE,Arizona Zervas,368262,2020-01-07,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,344556,2020-01-07,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,326723,2020-01-07,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,Justin Bieber,303415,2020-01-07,gb,41L3O37CECZt3N7ziG2z7l
7,The Box,Roddy Ricch,282622,2020-01-07,gb,0nbXyq5TXYPCO7pr3N8S4I
8,everything i wanted,Billie Eilish,281246,2020-01-07,gb,3ZCTVFBt2Brf31RLEnCkWJ
9,Adore You,Harry Styles,259214,2020-01-07,gb,3jjujdWJ72nww5eGnfs2E7
10,Someone You Loved,Lewis Capaldi,249353,2020-01-07,gb,7qEHsqek33rTcFNT9PFqLf
11,Lose Control,MEDUZA,246166,2020-01-07,gb,7CHi4DtfK4heMlQaudCuHK
12,Blinding Lights,The Weeknd,240800,2020-01-07,gb,0sf12qNH5qcw8qpgymFOqD
13,My Oh My (feat. DaBaby),Camila Cabello,229729,2020-01-07,gb,3yOlyBJuViE2YSGn3nVE1K
14,Falling,Trevor Daniel,221610,2020-01-07,gb,4TnjEaWOeW0eKTKIEvJyCa
15,Ride It,Regard,216057,2020-01-07,gb,2tnVG71enUj33Ic2nFN6kZ
16,Circles,Post Malone,204532,2020-01-07,gb,21jGcNKet2qwijlDFuPiPb
17,hot girl bummer,blackbear,201823,2020-01-07,gb,7aiClxsDWFRQ0Kzk5KI5ku
18,Vossi Bop,Stormzy,192932,2020-01-07,gb,5DXKtoZLm31msT7tNGNHLG
19,Memories,Maroon 5,191739,2020-01-07,gb,2b8fOow8UzyDFAE27YhOZM
20,Lights Up,Harry Styles,190313,2020-01-07,gb,4jAIqgrPjKLTY9Gbez25Qb
21,Audacity (feat. Headie One),Stormzy,188436,2020-01-07,gb,6Oq4fiDzKaFMU89dTvM24u
22,Watermelon Sugar,Harry Styles,186146,2020-01-07,gb,6UelLqGlWMcVH1E5c4H7lY
23,bad guy,Billie Eilish,180490,2020-01-07,gb,2Fxmhks0bxGSBdJ92vM42m
24,Bruises,Lewis Capaldi,174754,2020-01-07,gb,4Of7rzpRpV1mWRbhp5rAqG
25,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,174482,2020-01-07,gb,4vUmTMuQqjdnvlZmAH61Qk
26,Lose You To Love Me,Selena Gomez,173536,2020-01-07,gb,1HfMVBKM75vxSfsQ5VefZ5
27,This Is Real (ft. Ella Henderson),Jax Jones,170088,2020-01-07,gb,1pRShUtGOG6ZP5fsnw9G4h
28,Pump It Up,Endor,170050,2020-01-07,gb,0GiwV6v3AgJfdu59tj719Y
29,Heartless,The Weeknd,159703,2020-01-07,gb,57vxBYXtHMk6H1aD29V7PU
30,Lessons,Stormzy,158226,2020-01-07,gb,5iVGN1Th2DqyWVNIBM8Vwk
31,Don't Rush (feat. Headie One),Young T & Bugsey,150867,2020-01-07,gb,0PXukVbYpvz40KcEFKnIw7
32,Ladbroke Grove,AJ Tracey,145844,2020-01-07,gb,7b4ky1LlQLFhXHmhZkFgqV
33,Location (feat. Burna Boy),Dave,139000,2020-01-07,gb,3z4CGd63tpUn9a6oQSG0CI
34,Lucid Dreams,Juice WRLD,138107,2020-01-07,gb,285pBltuF7vW8TeWk8hdRR
35,Señorita,Shawn Mendes,133862,2020-01-07,gb,6v3KW9xbzN5yKLt9YKDYA2
36,I Don't Care (with Justin Bieber),Ed Sheeran,133262,2020-01-07,gb,0hVXuCcriWRGvwMV1r5Yn9
37,Must Be,J Hus,132893,2020-01-07,gb,2n1oPHJVMPWJkjgHwVcksY
38,HIGHEST IN THE ROOM,Travis Scott,129403,2020-01-07,gb,3eekarcy7kvN4yt5ZFzltW
39,Beautiful People (feat. Khalid),Ed Sheeran,129301,2020-01-07,gb,70eFcWOvlMObDhURTqT4Fv
40,Turn Me On (feat. Vula),Riton,128695,2020-01-07,gb,0qaWEvPkts34WF68r8Dzx9
41,Netflix & Chill,Fredo,126263,2020-01-07,gb,31m40qBxoj4iMSnQLkq8nP
42,No Idea,Don Toliver,125601,2020-01-07,gb,3VyjsVV24RmBIbWJAeUJNu
43,Hold Me While You Wait,Lewis Capaldi,124651,2020-01-07,gb,60iSKGrGazRzICtMjADNSM
44,Falling,Harry Styles,121665,2020-01-07,gb,1ZMiCix7XSAbfAJlEZWMCp
