Position,Track Name,Artist,Streams,date,region,id
1,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,474236,2020-01-10,gb,4QPEwDdOMhY7rNS05mTyMR
2,Dance Monkey,Tones and I,472847,2020-01-10,gb,1rgnBhdG2JDFTbYkYRZAku
3,ROXANNE,Arizona Zervas,406502,2020-01-10,gb,696DnlkuDOXcMAnKlTgXXK
4,The Box,Roddy Ricch,381891,2020-01-10,gb,0nbXyq5TXYPCO7pr3N8S4I
5,Before You Go,Lewis Capaldi,354154,2020-01-10,gb,2gMXnyrvIjhVBUZwvLZDMP
6,Don't Start Now,Dua Lipa,347006,2020-01-10,gb,6WrI0LAC5M1Rw2MnX2ZvEg
7,Yummy,Justin Bieber,345904,2020-01-10,gb,41L3O37CECZt3N7ziG2z7l
8,Life Is Good (feat. Drake),Future,345354,2020-01-10,gb,5yY9lUy8nbvjM1Uyo1Uqoc
9,Adore You,Harry Styles,299118,2020-01-10,gb,3jjujdWJ72nww5eGnfs2E7
10,everything i wanted,Billie Eilish,281358,2020-01-10,gb,3ZCTVFBt2Brf31RLEnCkWJ
11,Blinding Lights,The Weeknd,273366,2020-01-10,gb,0sf12qNH5qcw8qpgymFOqD
12,Lose Control,MEDUZA,268750,2020-01-10,gb,7CHi4DtfK4heMlQaudCuHK
13,Someone You Loved,Lewis Capaldi,261670,2020-01-10,gb,7qEHsqek33rTcFNT9PFqLf
14,Ride It,Regard,233811,2020-01-10,gb,2tnVG71enUj33Ic2nFN6kZ
15,Falling,Trevor Daniel,232526,2020-01-10,gb,4TnjEaWOeW0eKTKIEvJyCa
16,My Oh My (feat. DaBaby),Camila Cabello,227498,2020-01-10,gb,3yOlyBJuViE2YSGn3nVE1K
17,Lose You To Love Me,Selena Gomez,223192,2020-01-10,gb,4l0Mvzj72xxOpRrp6h8nHi
18,Rare,Selena Gomez,218927,2020-01-10,gb,7HMmFQsKsljwTw8bS7lu19
19,hot girl bummer,blackbear,215369,2020-01-10,gb,7aiClxsDWFRQ0Kzk5KI5ku
20,Circles,Post Malone,213250,2020-01-10,gb,21jGcNKet2qwijlDFuPiPb
21,Vossi Bop,Stormzy,209674,2020-01-10,gb,5DXKtoZLm31msT7tNGNHLG
22,Audacity (feat. Headie One),Stormzy,208071,2020-01-10,gb,6Oq4fiDzKaFMU89dTvM24u
23,Pump It Up,Endor,201893,2020-01-10,gb,0GiwV6v3AgJfdu59tj719Y
24,Memories,Maroon 5,199490,2020-01-10,gb,2b8fOow8UzyDFAE27YhOZM
25,This Is Real (ft. Ella Henderson),Jax Jones,191069,2020-01-10,gb,1pRShUtGOG6ZP5fsnw9G4h
26,Bruises,Lewis Capaldi,186468,2020-01-10,gb,4Of7rzpRpV1mWRbhp5rAqG
27,Watermelon Sugar,Harry Styles,186356,2020-01-10,gb,6UelLqGlWMcVH1E5c4H7lY
