Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,460332,2019-12-30,gb,1rgnBhdG2JDFTbYkYRZAku
2,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,411730,2019-12-30,gb,4QPEwDdOMhY7rNS05mTyMR
3,ROXANNE,Arizona Zervas,382695,2019-12-30,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,328495,2019-12-30,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,323777,2019-12-30,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,everything i wanted,Billie Eilish,272076,2019-12-30,gb,3ZCTVFBt2Brf31RLEnCkWJ
7,Someone You Loved,Lewis Capaldi,256561,2019-12-30,gb,7qEHsqek33rTcFNT9PFqLf
8,Adore You,Harry Styles,237161,2019-12-30,gb,3jjujdWJ72nww5eGnfs2E7
9,Lose Control,MEDUZA,219087,2019-12-30,gb,7CHi4DtfK4heMlQaudCuHK
10,Ride It,Regard,212280,2019-12-30,gb,2tnVG71enUj33Ic2nFN6kZ
11,Falling,Trevor Daniel,207719,2019-12-30,gb,4TnjEaWOeW0eKTKIEvJyCa
12,hot girl bummer,blackbear,204362,2019-12-30,gb,7aiClxsDWFRQ0Kzk5KI5ku
13,My Oh My (feat. DaBaby),Camila Cabello,202184,2019-12-30,gb,3yOlyBJuViE2YSGn3nVE1K
14,Circles,Post Malone,197475,2019-12-30,gb,21jGcNKet2qwijlDFuPiPb
15,bad guy,Billie Eilish,196025,2019-12-30,gb,2Fxmhks0bxGSBdJ92vM42m
16,Lights Up,Harry Styles,191687,2019-12-30,gb,4jAIqgrPjKLTY9Gbez25Qb
17,Memories,Maroon 5,190431,2019-12-30,gb,2b8fOow8UzyDFAE27YhOZM
18,Vossi Bop,Stormzy,186922,2019-12-30,gb,5DXKtoZLm31msT7tNGNHLG
19,Blinding Lights,The Weeknd,186643,2019-12-30,gb,0sf12qNH5qcw8qpgymFOqD
20,Watermelon Sugar,Harry Styles,180441,2019-12-30,gb,6UelLqGlWMcVH1E5c4H7lY
21,Pump It Up,Endor,179340,2019-12-30,gb,0GiwV6v3AgJfdu59tj719Y
22,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,178004,2019-12-30,gb,4vUmTMuQqjdnvlZmAH61Qk
23,Audacity (feat. Headie One),Stormzy,170456,2019-12-30,gb,6Oq4fiDzKaFMU89dTvM24u
24,Bruises,Lewis Capaldi,168441,2019-12-30,gb,4Of7rzpRpV1mWRbhp5rAqG
25,Lose You To Love Me,Selena Gomez,163305,2019-12-30,gb,1HfMVBKM75vxSfsQ5VefZ5
26,This Is Real (ft. Ella Henderson),Jax Jones,158970,2019-12-30,gb,1pRShUtGOG6ZP5fsnw9G4h
27,Ladbroke Grove,AJ Tracey,157657,2019-12-30,gb,7b4ky1LlQLFhXHmhZkFgqV
28,Lucid Dreams,Juice WRLD,151804,2019-12-30,gb,285pBltuF7vW8TeWk8hdRR
29,Heartless,The Weeknd,151758,2019-12-30,gb,57vxBYXtHMk6H1aD29V7PU
30,Señorita,Shawn Mendes,145134,2019-12-30,gb,6v3KW9xbzN5yKLt9YKDYA2
31,Beautiful People (feat. Khalid),Ed Sheeran,141108,2019-12-30,gb,70eFcWOvlMObDhURTqT4Fv
