Position,Track Name,Artist,Streams,date,region,id
1,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,454513,2020-01-09,gb,4QPEwDdOMhY7rNS05mTyMR
2,Dance Monkey,Tones and I,438959,2020-01-09,gb,1rgnBhdG2JDFTbYkYRZAku
3,ROXANNE,Arizona Zervas,379645,2020-01-09,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,348401,2020-01-09,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,334288,2020-01-09,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,The Box,Roddy Ricch,316206,2020-01-09,gb,0nbXyq5TXYPCO7pr3N8S4I
7,Yummy,Justin Bieber,315231,2020-01-09,gb,41L3O37CECZt3N7ziG2z7l
8,everything i wanted,Billie Eilish,279740,2020-01-09,gb,3ZCTVFBt2Brf31RLEnCkWJ
9,Adore You,Harry Styles,268107,2020-01-09,gb,3jjujdWJ72nww5eGnfs2E7
10,Someone You Loved,Lewis Capaldi,256705,2020-01-09,gb,7qEHsqek33rTcFNT9PFqLf
11,Blinding Lights,The Weeknd,250678,2020-01-09,gb,0sf12qNH5qcw8qpgymFOqD
12,Lose Control,MEDUZA,250344,2020-01-09,gb,7CHi4DtfK4heMlQaudCuHK
13,My Oh My (feat. DaBaby),Camila Cabello,226017,2020-01-09,gb,3yOlyBJuViE2YSGn3nVE1K
14,Falling,Trevor Daniel,225557,2020-01-09,gb,4TnjEaWOeW0eKTKIEvJyCa
15,Ride It,Regard,219779,2020-01-09,gb,2tnVG71enUj33Ic2nFN6kZ
16,Circles,Post Malone,206292,2020-01-09,gb,21jGcNKet2qwijlDFuPiPb
17,hot girl bummer,blackbear,204576,2020-01-09,gb,7aiClxsDWFRQ0Kzk5KI5ku
18,Audacity (feat. Headie One),Stormzy,200274,2020-01-09,gb,6Oq4fiDzKaFMU89dTvM24u
19,Vossi Bop,Stormzy,199391,2020-01-09,gb,5DXKtoZLm31msT7tNGNHLG
20,Memories,Maroon 5,190559,2020-01-09,gb,2b8fOow8UzyDFAE27YhOZM
21,Watermelon Sugar,Harry Styles,183082,2020-01-09,gb,6UelLqGlWMcVH1E5c4H7lY
22,Bruises,Lewis Capaldi,180725,2020-01-09,gb,4Of7rzpRpV1mWRbhp5rAqG
23,This Is Real (ft. Ella Henderson),Jax Jones,178143,2020-01-09,gb,1pRShUtGOG6ZP5fsnw9G4h
24,Lights Up,Harry Styles,178040,2020-01-09,gb,4jAIqgrPjKLTY9Gbez25Qb
25,bad guy,Billie Eilish,176516,2020-01-09,gb,2Fxmhks0bxGSBdJ92vM42m
26,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,174990,2020-01-09,gb,4vUmTMuQqjdnvlZmAH61Qk
27,Lose You To Love Me,Selena Gomez,174641,2020-01-09,gb,1HfMVBKM75vxSfsQ5VefZ5
28,Pump It Up,Endor,171926,2020-01-09,gb,0GiwV6v3AgJfdu59tj719Y
29,Lessons,Stormzy,167660,2020-01-09,gb,5iVGN1Th2DqyWVNIBM8Vwk
30,Heartless,The Weeknd,161304,2020-01-09,gb,57vxBYXtHMk6H1aD29V7PU
31,Don't Rush (feat. Headie One),Young T & Bugsey,159471,2020-01-09,gb,0PXukVbYpvz40KcEFKnIw7
32,Ladbroke Grove,AJ Tracey,148232,2020-01-09,gb,7b4ky1LlQLFhXHmhZkFgqV
33,Location (feat. Burna Boy),Dave,142305,2020-01-09,gb,3z4CGd63tpUn9a6oQSG0CI
34,Lucid Dreams,Juice WRLD,140735,2020-01-09,gb,285pBltuF7vW8TeWk8hdRR
35,Señorita,Shawn Mendes,135459,2020-01-09,gb,6v3KW9xbzN5yKLt9YKDYA2
36,Must Be,J Hus,135018,2020-01-09,gb,2n1oPHJVMPWJkjgHwVcksY
37,I Don't Care (with Justin Bieber),Ed Sheeran,134495,2020-01-09,gb,0hVXuCcriWRGvwMV1r5Yn9
38,Turn Me On (feat. Vula),Riton,131238,2020-01-09,gb,0qaWEvPkts34WF68r8Dzx9
39,Crown,Stormzy,130584,2020-01-09,gb,4CEGyF5A5u5BjweVvkgCsn
40,HIGHEST IN THE ROOM,Travis Scott,130419,2020-01-09,gb,3eekarcy7kvN4yt5ZFzltW
41,Netflix & Chill,Fredo,130146,2020-01-09,gb,31m40qBxoj4iMSnQLkq8nP
42,No Idea,Don Toliver,129168,2020-01-09,gb,3VyjsVV24RmBIbWJAeUJNu
43,Beautiful People (feat. Khalid),Ed Sheeran,128262,2020-01-09,gb,70eFcWOvlMObDhURTqT4Fv
44,Gangsta,Darkoo,126991,2020-01-09,gb,0KzhyaVtr2v4J9GVdMgCk0
45,Hold Me While You Wait,Lewis Capaldi,126513,2020-01-09,gb,60iSKGrGazRzICtMjADNSM
46,Wiley Flow,Stormzy,123228,2020-01-09,gb,5Rbj8akony3l0NNM5TjH1F
47,Falling,Harry Styles,121710,2020-01-09,gb,1ZMiCix7XSAbfAJlEZWMCp
48,Strike a Pose (feat. Aitch),Young T & Bugsey,121099,2020-01-09,gb,23GvTfcGK454ppLsts3W44
49,Nice To Meet Ya,Niall Horan,119848,2020-01-09,gb,3cphb8kdsjElYR7r5icK3H
50,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,117334,2020-01-09,gb,0RiRZpuVRbi7oqRdSMwhQY
51,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,114630,2020-01-09,gb,07Oz5StQ7GRoygNLaXs2pd
52,Professor X,Dave,108176,2020-01-09,gb,5wfyoR8XOkw45QRtFOoxyi
53,Be Honest,Jorja Smith,107847,2020-01-09,gb,3IWs9dAwTqN0EFhOIcBDfs
54,New Dior,DigDat,106064,2020-01-09,gb,4aRRxKxJbvIEjXWXB0l3w7
55,Mr. Brightside,The Killers,105297,2020-01-09,gb,7d8GetOsjbxYnlo6Y9e5Kw
56,3 Nights,Dominic Fike,104658,2020-01-09,gb,0uI7yAKUf52Cn7y3sYyjiX
57,Higher Love,Kygo,101902,2020-01-09,gb,6oJ6le65B3SEqPwMRNXWjY
58,Savage,MIST,101429,2020-01-09,gb,4MYPhAqmZxyBMBFknBhZHl
