Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,614408,2019-12-31,gb,1rgnBhdG2JDFTbYkYRZAku
2,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,481978,2019-12-31,gb,4QPEwDdOMhY7rNS05mTyMR
3,ROXANNE,Arizona Zervas,470762,2019-12-31,gb,696DnlkuDOXcMAnKlTgXXK
4,Don't Start Now,Dua Lipa,407839,2019-12-31,gb,6WrI0LAC5M1Rw2MnX2ZvEg
5,bad guy,Billie Eilish,369433,2019-12-31,gb,2Fxmhks0bxGSBdJ92vM42m
6,Before You Go,Lewis Capaldi,353479,2019-12-31,gb,2gMXnyrvIjhVBUZwvLZDMP
7,Ride It,Regard,298855,2019-12-31,gb,2tnVG71enUj33Ic2nFN6kZ
8,Lose Control,MEDUZA,295518,2019-12-31,gb,7CHi4DtfK4heMlQaudCuHK
9,everything i wanted,Billie Eilish,289916,2019-12-31,gb,3ZCTVFBt2Brf31RLEnCkWJ
10,Vossi Bop,Stormzy,284672,2019-12-31,gb,5DXKtoZLm31msT7tNGNHLG
11,Pump It Up,Endor,279055,2019-12-31,gb,0GiwV6v3AgJfdu59tj719Y
12,Someone You Loved,Lewis Capaldi,278833,2019-12-31,gb,7qEHsqek33rTcFNT9PFqLf
13,Adore You,Harry Styles,259763,2019-12-31,gb,3jjujdWJ72nww5eGnfs2E7
14,Ladbroke Grove,AJ Tracey,250692,2019-12-31,gb,7b4ky1LlQLFhXHmhZkFgqV
15,Circles,Post Malone,247734,2019-12-31,gb,21jGcNKet2qwijlDFuPiPb
16,hot girl bummer,blackbear,235696,2019-12-31,gb,7aiClxsDWFRQ0Kzk5KI5ku
17,My Oh My (feat. DaBaby),Camila Cabello,232889,2019-12-31,gb,3yOlyBJuViE2YSGn3nVE1K
18,Memories,Maroon 5,225715,2019-12-31,gb,2b8fOow8UzyDFAE27YhOZM
19,Falling,Trevor Daniel,224247,2019-12-31,gb,4TnjEaWOeW0eKTKIEvJyCa
20,Blinding Lights,The Weeknd,216103,2019-12-31,gb,0sf12qNH5qcw8qpgymFOqD
21,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,212435,2019-12-31,gb,4vUmTMuQqjdnvlZmAH61Qk
22,Piece Of Your Heart,MEDUZA,211567,2019-12-31,gb,1DFD5Fotzgn6yYXkYsKiGs
23,Lights Up,Harry Styles,211399,2019-12-31,gb,4jAIqgrPjKLTY9Gbez25Qb
24,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,209068,2019-12-31,gb,07Oz5StQ7GRoygNLaXs2pd
25,I Don't Care (with Justin Bieber),Ed Sheeran,205946,2019-12-31,gb,0hVXuCcriWRGvwMV1r5Yn9
26,This Is Real (ft. Ella Henderson),Jax Jones,203236,2019-12-31,gb,1pRShUtGOG6ZP5fsnw9G4h
27,Señorita,Shawn Mendes,201441,2019-12-31,gb,6v3KW9xbzN5yKLt9YKDYA2
28,Watermelon Sugar,Harry Styles,193849,2019-12-31,gb,6UelLqGlWMcVH1E5c4H7lY
29,Don't Call Me Up,Mabel,189104,2019-12-31,gb,5WHTFyqSii0lmT9R21abT8
30,Turn Me On (feat. Vula),Riton,188768,2019-12-31,gb,0qaWEvPkts34WF68r8Dzx9
31,Old Town Road - Remix,Lil Nas X,184878,2019-12-31,gb,2YpeDb67231RjR0MgVLzsG
32,Audacity (feat. Headie One),Stormzy,184121,2019-12-31,gb,6Oq4fiDzKaFMU89dTvM24u
33,Mr. Brightside,The Killers,182150,2019-12-31,gb,7d8GetOsjbxYnlo6Y9e5Kw
34,Lose You To Love Me,Selena Gomez,179385,2019-12-31,gb,1HfMVBKM75vxSfsQ5VefZ5
35,Heartless,The Weeknd,175710,2019-12-31,gb,57vxBYXtHMk6H1aD29V7PU
36,Location (feat. Burna Boy),Dave,172905,2019-12-31,gb,3z4CGd63tpUn9a6oQSG0CI
37,Beautiful People (feat. Khalid),Ed Sheeran,172467,2019-12-31,gb,70eFcWOvlMObDhURTqT4Fv
38,Bruises,Lewis Capaldi,172148,2019-12-31,gb,4Of7rzpRpV1mWRbhp5rAqG
39,Strike a Pose (feat. Aitch),Young T & Bugsey,170824,2019-12-31,gb,23GvTfcGK454ppLsts3W44
40,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,169098,2019-12-31,gb,0RiRZpuVRbi7oqRdSMwhQY
41,Lucid Dreams,Juice WRLD,166461,2019-12-31,gb,285pBltuF7vW8TeWk8hdRR
42,Sorry,Joel Corry,165112,2019-12-31,gb,6y1UtRcHQU07aUs3oxZ8Yn
43,Don't Rush (feat. Headie One),Young T & Bugsey,163887,2019-12-31,gb,0PXukVbYpvz40KcEFKnIw7
44,Higher Love,Kygo,163180,2019-12-31,gb,6oJ6le65B3SEqPwMRNXWjY
45,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,161771,2019-12-31,gb,2tUBqZG2AbRi7Q0BIrVrEj
46,Hey Ya!,OutKast,154836,2019-12-31,gb,2PpruBYCo4H7WOBJ7Q2EwM
47,God's Plan,Drake,149079,2019-12-31,gb,6DCZcSspjsKoFjzjrWoCdn
48,Must Be,J Hus,148806,2019-12-31,gb,2n1oPHJVMPWJkjgHwVcksY
49,Dancing in the Moonlight,Toploader,146705,2019-12-31,gb,3Fzlg5r1IjhLk2qRw667od
50,One Kiss (with Dua Lipa),Calvin Harris,146640,2019-12-31,gb,7ef4DlsgrMEH11cDZd32M6
51,The Box,Roddy Ricch,145774,2019-12-31,gb,0nbXyq5TXYPCO7pr3N8S4I
52,HIGHEST IN THE ROOM,Travis Scott,144923,2019-12-31,gb,3eekarcy7kvN4yt5ZFzltW
53,Taste (Make It Shake),Aitch,143599,2019-12-31,gb,1xPpYbCaJWonL7IFXPDjON
54,Lessons,Stormzy,140521,2019-12-31,gb,5iVGN1Th2DqyWVNIBM8Vwk
55,Netflix & Chill,Fredo,139210,2019-12-31,gb,31m40qBxoj4iMSnQLkq8nP
56,Wake Me Up,Avicii,133642,2019-12-31,gb,4h8VwCb1MTGoLKueQ1WgbD
57,Buss Down (feat. ZieZie),Aitch,133020,2019-12-31,gb,584UC3Qpm8SbYd7aRWKREu
58,"thank u, next",Ariana Grande,132676,2019-12-31,gb,3e9HZxeyfWwjeyPAMmWSSQ
59,Ransom,Lil Tecca,128440,2019-12-31,gb,1lOe9qE0vR9zwWQAOk6CoO
60,Hold Me While You Wait,Lewis Capaldi,127632,2019-12-31,gb,60iSKGrGazRzICtMjADNSM
61,Shotgun,George Ezra,127293,2019-12-31,gb,4ofwffwvvnbSkrMSCKQDaC
62,No Cellular Site,D-Block Europe,125721,2019-12-31,gb,5A5HUdwGAlJLC9vg5Dyhio
63,7 rings,Ariana Grande,124923,2019-12-31,gb,6ocbgoVGwYJhOv1GgI9NsF
64,Be Honest,Jorja Smith,124848,2019-12-31,gb,3IWs9dAwTqN0EFhOIcBDfs
65,3 Nights,Dominic Fike,124140,2019-12-31,gb,1tNJrcVe6gwLEiZCtprs1u
66,Professor X,Dave,122389,2019-12-31,gb,5wfyoR8XOkw45QRtFOoxyi
67,Nice To Meet Ya,Niall Horan,120505,2019-12-31,gb,3cphb8kdsjElYR7r5icK3H
68,Wow.,Post Malone,118701,2019-12-31,gb,7xQAfvXzm3AkraOtGPWIZg
69,No Idea,Don Toliver,118627,2019-12-31,gb,3VyjsVV24RmBIbWJAeUJNu
70,Don't Stop Me Now - 2011 Mix,Queen,117906,2019-12-31,gb,5T8EDUDqKcs6OSOwEsfqG7
71,God Is A Dancer (with Mabel),Tiësto,116951,2019-12-31,gb,6fenHIxXuuzKB55wY4WCHP
72,Take Me Back to London (feat. Stormzy),Ed Sheeran,115876,2019-12-31,gb,1AI7UPw3fgwAFkvAlZWhE0
73,Temperature,Sean Paul,114952,2019-12-31,gb,0k2GOhqsrxDTAbFFSdNJjT
74,Truth Hurts,Lizzo,114916,2019-12-31,gb,5qmq61DAAOUaW8AUo8xKhh
75,Sweet but Psycho,Ava Max,113377,2019-12-31,gb,25sgk305KZfyuqVBQIahim
76,Shape of You,Ed Sheeran,112414,2019-12-31,gb,7qiZfU4dY1lWllzX7mPBI3
77,Everywhere - 2017 Remaster,Fleetwood Mac,111486,2019-12-31,gb,254bXAqt3zP6P50BdQvEsq
78,New Dior,DigDat,110828,2019-12-31,gb,4aRRxKxJbvIEjXWXB0l3w7
79,High Hopes,Panic! At The Disco,109773,2019-12-31,gb,1rqqCSm0Qe4I9rUvWncaom
80,Uptown Funk,Mark Ronson,109680,2019-12-31,gb,32OlwWuMpZ6b0aN2RZOeMS
81,In Da Club,50 Cent,109621,2019-12-31,gb,7iL6o9tox1zgHpKUfh9vuC
82,September,"Earth, Wind & Fire",109601,2019-12-31,gb,4f2GB5ZC7vOUYPAg69N2Xw
83,Crown,Stormzy,109475,2019-12-31,gb,4CEGyF5A5u5BjweVvkgCsn
84,How Do You Sleep?,Sam Smith,109041,2019-12-31,gb,6b2RcmUt1g9N9mQ3CbjX2Y
85,Gangsta,Darkoo,109004,2019-12-31,gb,0KzhyaVtr2v4J9GVdMgCk0
86,I'm Coming Out,Diana Ross,106887,2019-12-31,gb,0ew27xRdxSexrWbODuLfeE
87,No Denying,J Hus,106240,2019-12-31,gb,2kUIOTeKv8ZeT6vh9gh7RF
88,So High (feat. Fredo),MIST,104237,2019-12-31,gb,5aubXDnDNVKA5pS7EnR0mp
89,Happier,Marshmello,103810,2019-12-31,gb,2dpaYNEQHiRxtZbfNsse99
90,Shut Up and Dance,WALK THE MOON,102347,2019-12-31,gb,0kzw2tRyuL9rzipi5ntlIy
91,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,102237,2019-12-31,gb,7h0d2h0fUmzbs7zeFigJPn
92,Bandit (with YoungBoy Never Broke Again),Juice WRLD,102108,2019-12-31,gb,6Gg1gjgKi2AK4e0qzsR7sd
93,One Dance,Drake,101317,2019-12-31,gb,1zi7xx7UVEFkmKfv06H8x0
94,Falling,Harry Styles,100766,2019-12-31,gb,1ZMiCix7XSAbfAJlEZWMCp
95,when the party's over,Billie Eilish,100546,2019-12-31,gb,43zdsphuZLzwA9k4DJhU0I
96,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,99883,2019-12-31,gb,4etKC4ngPKsQDHUMnYgV3A
