Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,360900,2020-01-01,gb,1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,Arizona Zervas,295832,2020-01-01,gb,696DnlkuDOXcMAnKlTgXXK
3,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,281103,2020-01-01,gb,4QPEwDdOMhY7rNS05mTyMR
4,Before You Go,Lewis Capaldi,233503,2020-01-01,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,221445,2020-01-01,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,Someone You Loved,Lewis Capaldi,201609,2020-01-01,gb,7qEHsqek33rTcFNT9PFqLf
7,everything i wanted,Billie Eilish,190899,2020-01-01,gb,3ZCTVFBt2Brf31RLEnCkWJ
8,bad guy,Billie Eilish,174414,2020-01-01,gb,2Fxmhks0bxGSBdJ92vM42m
9,Falling,Trevor Daniel,159352,2020-01-01,gb,4TnjEaWOeW0eKTKIEvJyCa
10,Adore You,Harry Styles,158821,2020-01-01,gb,3jjujdWJ72nww5eGnfs2E7
11,Ride It,Regard,157662,2020-01-01,gb,2tnVG71enUj33Ic2nFN6kZ
12,Lose Control,MEDUZA,154658,2020-01-01,gb,7CHi4DtfK4heMlQaudCuHK
13,Vossi Bop,Stormzy,151145,2020-01-01,gb,5DXKtoZLm31msT7tNGNHLG
14,Circles,Post Malone,150593,2020-01-01,gb,21jGcNKet2qwijlDFuPiPb
15,hot girl bummer,blackbear,148873,2020-01-01,gb,7aiClxsDWFRQ0Kzk5KI5ku
16,Pump It Up,Endor,145532,2020-01-01,gb,0GiwV6v3AgJfdu59tj719Y
17,Memories,Maroon 5,144170,2020-01-01,gb,2b8fOow8UzyDFAE27YhOZM
18,My Oh My (feat. DaBaby),Camila Cabello,142350,2020-01-01,gb,3yOlyBJuViE2YSGn3nVE1K
19,Blinding Lights,The Weeknd,130931,2020-01-01,gb,0sf12qNH5qcw8qpgymFOqD
20,Ladbroke Grove,AJ Tracey,129241,2020-01-01,gb,7b4ky1LlQLFhXHmhZkFgqV
21,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,127739,2020-01-01,gb,4vUmTMuQqjdnvlZmAH61Qk
22,Bruises,Lewis Capaldi,126317,2020-01-01,gb,4Of7rzpRpV1mWRbhp5rAqG
23,Lights Up,Harry Styles,125262,2020-01-01,gb,4jAIqgrPjKLTY9Gbez25Qb
24,Watermelon Sugar,Harry Styles,119905,2020-01-01,gb,6UelLqGlWMcVH1E5c4H7lY
25,Lucid Dreams,Juice WRLD,118242,2020-01-01,gb,285pBltuF7vW8TeWk8hdRR
26,Señorita,Shawn Mendes,116994,2020-01-01,gb,6v3KW9xbzN5yKLt9YKDYA2
27,Lose You To Love Me,Selena Gomez,112748,2020-01-01,gb,1HfMVBKM75vxSfsQ5VefZ5
28,I Don't Care (with Justin Bieber),Ed Sheeran,112321,2020-01-01,gb,0hVXuCcriWRGvwMV1r5Yn9
