Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,400947,2020-01-05,gb,1rgnBhdG2JDFTbYkYRZAku
2,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,357760,2020-01-05,gb,4QPEwDdOMhY7rNS05mTyMR
3,ROXANNE,Arizona Zervas,340509,2020-01-05,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,303129,2020-01-05,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,276609,2020-01-05,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,Justin Bieber,252527,2020-01-05,gb,41L3O37CECZt3N7ziG2z7l
7,everything i wanted,Billie Eilish,249401,2020-01-05,gb,3ZCTVFBt2Brf31RLEnCkWJ
8,Someone You Loved,Lewis Capaldi,228894,2020-01-05,gb,7qEHsqek33rTcFNT9PFqLf
9,The Box,Roddy Ricch,219761,2020-01-05,gb,0nbXyq5TXYPCO7pr3N8S4I
10,Adore You,Harry Styles,218998,2020-01-05,gb,3jjujdWJ72nww5eGnfs2E7
11,My Oh My (feat. DaBaby),Camila Cabello,203303,2020-01-05,gb,3yOlyBJuViE2YSGn3nVE1K
12,Falling,Trevor Daniel,201148,2020-01-05,gb,4TnjEaWOeW0eKTKIEvJyCa
13,Lose Control,MEDUZA,199517,2020-01-05,gb,7CHi4DtfK4heMlQaudCuHK
14,Blinding Lights,The Weeknd,191216,2020-01-05,gb,0sf12qNH5qcw8qpgymFOqD
15,Ride It,Regard,186099,2020-01-05,gb,2tnVG71enUj33Ic2nFN6kZ
16,Circles,Post Malone,181379,2020-01-05,gb,21jGcNKet2qwijlDFuPiPb
17,hot girl bummer,blackbear,177977,2020-01-05,gb,7aiClxsDWFRQ0Kzk5KI5ku
18,Memories,Maroon 5,174285,2020-01-05,gb,2b8fOow8UzyDFAE27YhOZM
19,bad guy,Billie Eilish,166854,2020-01-05,gb,2Fxmhks0bxGSBdJ92vM42m
20,Lights Up,Harry Styles,164025,2020-01-05,gb,4jAIqgrPjKLTY9Gbez25Qb
21,Watermelon Sugar,Harry Styles,161378,2020-01-05,gb,6UelLqGlWMcVH1E5c4H7lY
22,Bruises,Lewis Capaldi,157445,2020-01-05,gb,4Of7rzpRpV1mWRbhp5rAqG
23,Vossi Bop,Stormzy,155828,2020-01-05,gb,5DXKtoZLm31msT7tNGNHLG
24,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,154679,2020-01-05,gb,4vUmTMuQqjdnvlZmAH61Qk
25,Lose You To Love Me,Selena Gomez,154092,2020-01-05,gb,1HfMVBKM75vxSfsQ5VefZ5
26,Pump It Up,Endor,151414,2020-01-05,gb,0GiwV6v3AgJfdu59tj719Y
27,Audacity (feat. Headie One),Stormzy,138304,2020-01-05,gb,6Oq4fiDzKaFMU89dTvM24u
28,This Is Real (ft. Ella Henderson),Jax Jones,134948,2020-01-05,gb,1pRShUtGOG6ZP5fsnw9G4h
29,Heartless,The Weeknd,132913,2020-01-05,gb,57vxBYXtHMk6H1aD29V7PU
30,Lucid Dreams,Juice WRLD,130308,2020-01-05,gb,285pBltuF7vW8TeWk8hdRR
31,Señorita,Shawn Mendes,128849,2020-01-05,gb,6v3KW9xbzN5yKLt9YKDYA2
32,Ladbroke Grove,AJ Tracey,128241,2020-01-05,gb,7b4ky1LlQLFhXHmhZkFgqV
33,I Don't Care (with Justin Bieber),Ed Sheeran,122364,2020-01-05,gb,0hVXuCcriWRGvwMV1r5Yn9
34,Don't Rush (feat. Headie One),Young T & Bugsey,120566,2020-01-05,gb,0PXukVbYpvz40KcEFKnIw7
35,Beautiful People (feat. Khalid),Ed Sheeran,118381,2020-01-05,gb,70eFcWOvlMObDhURTqT4Fv
36,Location (feat. Burna Boy),Dave,116965,2020-01-05,gb,3z4CGd63tpUn9a6oQSG0CI
37,Lessons,Stormzy,116697,2020-01-05,gb,5iVGN1Th2DqyWVNIBM8Vwk
38,Hold Me While You Wait,Lewis Capaldi,112258,2020-01-05,gb,60iSKGrGazRzICtMjADNSM
39,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,110619,2020-01-05,gb,0RiRZpuVRbi7oqRdSMwhQY
40,Must Be,J Hus,109622,2020-01-05,gb,2n1oPHJVMPWJkjgHwVcksY
41,Turn Me On (feat. Vula),Riton,108663,2020-01-05,gb,0qaWEvPkts34WF68r8Dzx9
42,HIGHEST IN THE ROOM,Travis Scott,108079,2020-01-05,gb,3eekarcy7kvN4yt5ZFzltW
43,No Idea,Don Toliver,105785,2020-01-05,gb,3VyjsVV24RmBIbWJAeUJNu
44,Netflix & Chill,Fredo,105730,2020-01-05,gb,31m40qBxoj4iMSnQLkq8nP
45,Nice To Meet Ya,Niall Horan,102072,2020-01-05,gb,3cphb8kdsjElYR7r5icK3H
46,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,101388,2020-01-05,gb,07Oz5StQ7GRoygNLaXs2pd
47,Strike a Pose (feat. Aitch),Young T & Bugsey,100862,2020-01-05,gb,23GvTfcGK454ppLsts3W44
48,Falling,Harry Styles,96207,2020-01-05,gb,1ZMiCix7XSAbfAJlEZWMCp
49,Ransom,Lil Tecca,96186,2020-01-05,gb,1lOe9qE0vR9zwWQAOk6CoO
50,Higher Love,Kygo,95696,2020-01-05,gb,6oJ6le65B3SEqPwMRNXWjY
51,when the party's over,Billie Eilish,93602,2020-01-05,gb,43zdsphuZLzwA9k4DJhU0I
52,Gangsta,Darkoo,92725,2020-01-05,gb,0KzhyaVtr2v4J9GVdMgCk0
53,Savage,MIST,92541,2020-01-05,gb,4MYPhAqmZxyBMBFknBhZHl
54,3 Nights,Dominic Fike,90374,2020-01-05,gb,1tNJrcVe6gwLEiZCtprs1u
55,No Denying,J Hus,89880,2020-01-05,gb,2kUIOTeKv8ZeT6vh9gh7RF
56,Be Honest,Jorja Smith,89418,2020-01-05,gb,3IWs9dAwTqN0EFhOIcBDfs
57,Better Half of Me,Tom Walker,88993,2020-01-05,gb,4VPlKUSjC9HdZdUbFZ0Y5y
58,New Dior,DigDat,88319,2020-01-05,gb,4aRRxKxJbvIEjXWXB0l3w7
59,Crown,Stormzy,88029,2020-01-05,gb,4CEGyF5A5u5BjweVvkgCsn
60,Taste (Make It Shake),Aitch,87655,2020-01-05,gb,1xPpYbCaJWonL7IFXPDjON
61,Into the Unknown,Idina Menzel,87286,2020-01-05,gb,3Z0oQ8r78OUaHvGPiDBR3W
