Position,Track Name,Artist,Streams,date,region,id
1,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,445344,2020-01-08,gb,4QPEwDdOMhY7rNS05mTyMR
2,Dance Monkey,Tones and I,439951,2020-01-08,gb,1rgnBhdG2JDFTbYkYRZAku
3,ROXANNE,Arizona Zervas,371768,2020-01-08,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,349127,2020-01-08,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,332531,2020-01-08,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,Justin Bieber,306374,2020-01-08,gb,41L3O37CECZt3N7ziG2z7l
7,The Box,Roddy Ricch,291598,2020-01-08,gb,0nbXyq5TXYPCO7pr3N8S4I
8,everything i wanted,Billie Eilish,277376,2020-01-08,gb,3ZCTVFBt2Brf31RLEnCkWJ
9,Adore You,Harry Styles,262535,2020-01-08,gb,3jjujdWJ72nww5eGnfs2E7
10,Blinding Lights,The Weeknd,248767,2020-01-08,gb,0sf12qNH5qcw8qpgymFOqD
11,Someone You Loved,Lewis Capaldi,246520,2020-01-08,gb,7qEHsqek33rTcFNT9PFqLf
12,Lose Control,MEDUZA,246413,2020-01-08,gb,7CHi4DtfK4heMlQaudCuHK
13,My Oh My (feat. DaBaby),Camila Cabello,231488,2020-01-08,gb,3yOlyBJuViE2YSGn3nVE1K
14,Falling,Trevor Daniel,221179,2020-01-08,gb,4TnjEaWOeW0eKTKIEvJyCa
15,Ride It,Regard,218864,2020-01-08,gb,2tnVG71enUj33Ic2nFN6kZ
16,Circles,Post Malone,205610,2020-01-08,gb,21jGcNKet2qwijlDFuPiPb
17,hot girl bummer,blackbear,202265,2020-01-08,gb,7aiClxsDWFRQ0Kzk5KI5ku
18,Vossi Bop,Stormzy,193924,2020-01-08,gb,5DXKtoZLm31msT7tNGNHLG
19,Lights Up,Harry Styles,193382,2020-01-08,gb,4jAIqgrPjKLTY9Gbez25Qb
20,Audacity (feat. Headie One),Stormzy,190272,2020-01-08,gb,6Oq4fiDzKaFMU89dTvM24u
21,Memories,Maroon 5,189990,2020-01-08,gb,2b8fOow8UzyDFAE27YhOZM
22,Watermelon Sugar,Harry Styles,185750,2020-01-08,gb,6UelLqGlWMcVH1E5c4H7lY
23,This Is Real (ft. Ella Henderson),Jax Jones,175757,2020-01-08,gb,1pRShUtGOG6ZP5fsnw9G4h
24,bad guy,Billie Eilish,175312,2020-01-08,gb,2Fxmhks0bxGSBdJ92vM42m
